file_path,file_name,status,file_type,parse_method,chunk_count,avg_token_per_chunk,school_detected,year_detected,doc_type,has_ocr,char_count_raw,char_count_clean,needs_review,error_msg,processed_at
11 GPA/11.1 AP/上海_星河湾/2019年 星河湾 申请录取结果.pdf,2019年 星河湾 申请录取结果.pdf,success,.pdf,pdfplumber,6,308,上海_星河湾,2019,录取结果,False,2543,1540,False,,2026-06-04
11 GPA/11.1 AP/上海_星河湾/2017年 星河湾 申请录取结果.pdf,2017年 星河湾 申请录取结果.pdf,success,.pdf,pdfplumber,5,490,上海_星河湾,2017,录取结果,False,2040,2126,False,,2026-06-04
11 GPA/11.1 AP/上海_星河湾/2018年 星河湾 申请录取结果.pdf,2018年 星河湾 申请录取结果.pdf,success,.pdf,pdfplumber,6,244,上海_星河湾,2018,录取结果,False,2323,1283,False,,2026-06-04
11 GPA/11.1 AP/上海_平和 IEP/Trancript Sample.pdf,Trancript Sample.pdf,success,.pdf,pdfplumber,21,75,上海_平和 IEP,unknown,其他,False,4757,2866,False,,2026-06-04
11 GPA/11.1 AP/上海_华二国际部/【讲座精华】在一年只招40个学生的华二国际班读书，是一种什么样的体验？.pdf,【讲座精华】在一年只招40个学生的华二国际班读书，是一种什么样的体验？.pdf,success,.pdf,tesseract-ocr,38,128,上海_华二国际部,unknown,叙述文章,True,8006,5885,False,,2026-06-04
11 GPA/11.1 AP/上海_华二国际部/公办AP的佼佼者——华二国课班.pdf,公办AP的佼佼者——华二国课班.pdf,success,.pdf,tesseract-ocr,8,406,上海_华二国际部,unknown,叙述文章,True,3714,3269,False,,2026-06-04
11 GPA/11.1 AP/重庆_南开/斯坦福牛津Case.pdf,斯坦福牛津Case.pdf,success,.pdf,tesseract-ocr,16,230,重庆_南开,unknown,叙述文章,True,5423,4692,False,,2026-06-04
11 GPA/11.1 AP/重庆_南开/重庆南开中学国际课程中心2020届录取汇总.pdf,重庆南开中学国际课程中心2020届录取汇总.pdf,success,.pdf,pdfplumber,3,376,重庆_南开,2020,录取结果,False,1782,1217,False,,2026-06-04
11 GPA/11.1 AP/重庆_南开/JHU录取.pdf,JHU录取.pdf,success,.pdf,tesseract-ocr,12,448,重庆_南开,unknown,其他,True,7092,6255,False,,2026-06-04
11 GPA/11.1 AP/广东_HFI/HFI - 学生手册选课必看部分_批注.pdf,HFI - 学生手册选课必看部分_批注.pdf,success,.pdf,pdfplumber,6,455,广东_HFI,unknown,课程介绍,False,11509,11589,False,,2026-06-04
11 GPA/11.1 AP/广东_HFI/HFI - 学生手册选课必看部分.pdf,HFI - 学生手册选课必看部分.pdf,success,.pdf,pdfplumber,6,455,广东_HFI,unknown,课程介绍,False,11509,11589,False,,2026-06-04
11 GPA/11.1 AP/广东_HFI/HFI Student Handbook 2020-21 v1.3-Section-4.pdf,HFI Student Handbook 2020-21 v1.3-Section-4.pdf,success,.pdf,pdfplumber,15,247,广东_HFI,2020,课程介绍,False,16344,16152,False,,2026-06-04
